FECHA|CASOS|MUERTES|COUNTRY
13/03/2020|2|0|Armenia
14/03/2020|7|0|Armenia
15/03/2020|7|0|Armenia
16/03/2020|10|0|Armenia
17/03/2020|22|0|Armenia
18/03/2020|26|0|Armenia
19/03/2020|37|0|Armenia
20/03/2020|7|0|Armenia
21/03/2020|14|0|Armenia
22/03/2020|24|0|Armenia
23/03/2020|30|0|Armenia
24/03/2020|4|0|Armenia
25/03/2020|71|0|Armenia
26/03/2020|25|0|Armenia
27/03/2020|39|1|Armenia
28/03/2020|43|0|Armenia
29/03/2020|52|2|Armenia
30/03/2020|0|0|Armenia
31/03/2020|58|0|Armenia
01/04/2020|50|0|Armenia
02/04/2020|39|0|Armenia
03/04/2020|92|1|Armenia
04/04/2020|73|3|Armenia
05/04/2020|34|0|Armenia
06/04/2020|52|0|Armenia
07/04/2020|11|1|Armenia
08/04/2020|20|0|Armenia
09/04/2020|28|1|Armenia
10/04/2020|40|1|Armenia
11/04/2020|16|1|Armenia
12/04/2020|30|2|Armenia
13/04/2020|46|0|Armenia
14/04/2020|26|1|Armenia
13/03/2020|2|0|Aruba
20/03/2020|2|0|Aruba
24/03/2020|8|0|Aruba
25/03/2020|5|0|Aruba
26/03/2020|2|0|Aruba
27/03/2020|9|0|Aruba
28/03/2020|0|0|Aruba
29/03/2020|0|0|Aruba
30/03/2020|22|0|Aruba
01/04/2020|5|0|Aruba
02/04/2020|0|0|Aruba
03/04/2020|5|0|Aruba
04/04/2020|2|0|Aruba
05/04/2020|2|0|Aruba
06/04/2020|0|0|Aruba
07/04/2020|7|0|Aruba
08/04/2020|3|0|Aruba
09/04/2020|3|0|Aruba
10/04/2020|5|0|Aruba
11/04/2020|4|0|Aruba
12/04/2020|6|0|Aruba
13/04/2020|0|0|Aruba
14/04/2020|0|0|Aruba
25/01/2020|1|0|Australia
26/01/2020|3|0|Australia
27/01/2020|0|0|Australia
28/01/2020|0|0|Australia
29/01/2020|0|0|Australia
30/01/2020|2|0|Australia
31/01/2020|1|0|Australia
